Date,Open,High,Low,Close,Volume,Dividends
2023-02-09,153.13,153.67,149.78,150.23,56007100,0.0
2023-01-26,142.56,143.64,141.3,143.35,54105100,0.0
2023-06-28,187.68,189.64,187.35,188.99,51216800,0.0
2023-04-06,161.99,164.51,161.56,164.21,45390100,0.0
2023-05-04,164.44,166.58,163.86,165.34,81235400,0.0
2023-07-31,195.8,196.23,195.0,196.19,38824100,0.0
2023-01-06,125.47,129.74,124.36,129.07,87754700,0.0
2023-04-28,168.03,169.39,167.42,169.22,55209200,0.0
2023-02-13,150.54,153.84,150.51,153.43,62199000,0.0
2023-02-22,148.46,149.54,146.76,148.5,51011300,0.0
2023-01-20,134.71,137.43,133.65,137.28,80223600,0.0
2023-03-01,146.43,146.83,144.61,144.91,55479000,0.0
2023-05-02,169.63,169.89,167.08,168.08,48425700,0.0
2023-05-24,170.86,172.19,170.29,171.61,45143500,0.0
2023-06-02,180.79,181.53,179.02,180.71,61945900,0.0
2023-04-19,165.35,167.7,165.09,167.17,47720200,0.0
2023-07-17,191.64,194.06,191.55,193.73,50520200,0.0
2023-04-27,164.74,168.1,164.74,167.95,64902300,0.0
2023-06-12,181.03,183.64,180.73,183.54,54274900,0.0
2023-05-11,173.38,174.11,171.7,173.28,49514700,0.0
2023-03-31,162.0,164.55,161.47,164.45,68749800,0.0
2023-05-15,172.93,172.98,171.24,171.84,37266700,0.0
2023-01-25,140.29,141.82,138.22,141.26,65799300,0.0
2023-06-06,179.73,179.88,177.19,178.97,64848400,0.0
2023-07-05,191.31,192.72,190.36,191.07,46920300,0.0
2023-01-10,129.71,130.7,127.58,130.17,63896200,0.0
2023-01-24,139.71,142.55,139.7,141.92,66435100,0.0
2023-03-13,147.41,152.72,147.3,150.06,84457100,0.0
2023-05-23,172.9,173.15,171.05,171.33,50747300,0.0
2023-02-16,153.09,155.9,152.93,153.29,68167900,0.0
2023-05-08,172.01,173.38,171.64,173.03,55962800,0.0
2023-02-02,148.27,150.54,147.54,150.18,118339000,0.0
2023-02-06,151.92,152.45,150.14,151.09,69858300,0.0
2023-05-01,168.82,169.99,168.18,169.13,52472900,0.0
2023-05-09,172.58,173.07,171.13,171.3,45326900,0.0
2023-04-24,164.55,165.15,163.44,164.88,41949600,0.0
2023-06-26,186.58,187.8,184.98,185.02,48088700,0.0
2023-04-25,164.74,165.86,163.28,163.32,48714100,0.0
2023-01-31,142.09,143.73,141.68,143.68,65874500,0.0
2023-08-22,177.06,177.68,176.25,177.23,42084200,0.0
2023-01-04,126.35,128.11,124.55,125.82,89113600,0.0
2023-06-21,184.65,185.16,182.34,183.71,49515700,0.0
2023-06-22,183.49,186.8,183.42,186.75,51245300,0.0
2023-04-05,164.29,164.6,161.36,163.31,51511700,0.0
2023-01-18,136.24,138.02,134.46,134.64,69672800,0.0
2023-07-26,193.41,195.38,193.06,194.24,47471900,0.0
2023-04-12,160.78,161.62,159.34,159.66,50133100,0.0
2023-03-29,158.94,160.61,158.92,160.33,51305700,0.0
2023-02-01,143.36,145.99,140.72,144.81,77663600,0.0
2023-04-11,161.91,161.92,160.07,160.36,47644200,0.0
2023-03-03,147.64,150.7,146.93,150.62,70732300,0.0
2023-08-16,177.13,178.54,176.5,176.57,46964900,0.0
2023-03-10,149.8,150.53,147.21,148.09,68572400,0.0
2023-08-03,191.31,192.11,190.43,190.91,61235200,0.0
2023-02-08,153.23,153.92,150.53,151.27,64120100,0.0
2023-03-08,152.39,153.05,151.42,152.45,47204800,0.0
2023-03-09,153.14,154.12,149.82,150.18,53833600,0.0
2023-08-21,175.07,176.13,173.74,175.84,46311900,0.0
2023-05-22,173.75,174.47,173.22,173.97,43570900,0.0
2023-03-23,158.4,161.11,157.25,158.5,67622100,0.0
2023-08-09,180.63,180.69,176.77,177.95,60378500,0.0
2023-08-17,177.14,177.51,173.48,174.0,66062900,0.0
2023-02-07,150.0,154.57,150.0,153.99,83322600,0.0
2023-04-20,165.64,167.41,165.11,166.2,52456400,0.0
2023-06-14,183.12,184.14,181.77,183.7,57462900,0.0
2023-08-04,185.27,187.13,181.67,181.74,115799700,0.0
2023-02-24,146.71,146.79,145.32,146.31,55469600,0.0
