Date,Open,High,Low,Close,Volume,Dividends,Capital Gains
2023-01-17,91.91,91.91,91.81,91.81,1304,0.0,0.0
2023-08-25,90.65,90.65,90.65,90.65,10,0.0,0.0
2023-08-11,90.93,90.93,90.86,90.86,283,0.0,0.0
2023-07-28,91.25,91.3,91.25,91.3,2170,0.0,0.0
2023-08-22,90.39,90.39,90.39,90.39,3,0.0,0.0
2023-02-02,92.4,92.4,92.4,92.4,79,0.0,0.0
2023-02-21,90.5,90.5,90.5,90.5,401,0.0,0.0
2023-06-16,91.61,91.61,91.61,91.61,49,0.0,0.0
2023-05-18,92.17,92.17,92.1,92.1,1603,0.0,0.0
2023-07-12,91.32,91.52,91.32,91.45,9504,0.0,0.0
2023-08-08,91.45,91.45,91.43,91.43,240,0.0,0.0
2023-02-06,91.49,91.49,91.4,91.4,103,0.0,0.0
2023-03-28,92.16,92.16,92.16,92.16,10,0.0,0.0
2023-08-16,90.8,90.8,90.55,90.55,102,0.0,0.0
2023-01-18,92.24,92.41,92.24,92.36,7402,0.0,0.0
2023-03-14,91.55,91.55,91.41,91.41,119,0.0,0.0
2023-06-08,91.87,91.87,91.87,91.87,2,0.0,0.0
2023-03-03,90.21,90.36,90.21,90.36,543,0.0,0.0
2023-05-05,92.86,92.86,92.86,92.86,136,0.0,0.0
2023-06-23,91.61,91.65,91.61,91.65,110039,0.0,0.0
2023-05-03,93.1,93.1,93.1,93.1,4,0.0,0.0
2023-08-18,90.67,90.67,90.67,90.67,3,0.0,0.0
2023-01-31,91.96,91.96,91.96,91.96,3,0.0,0.0
2023-07-11,90.99,90.99,90.95,90.95,2623,0.0,0.0
2023-02-27,90.4,90.41,90.4,90.41,226,0.0,0.0
2023-03-13,92.01,92.21,91.82,91.82,214,0.0,0.0
2023-08-03,90.84,90.84,90.63,90.81,19669,0.0,0.0
2023-08-15,90.7,90.7,90.7,90.7,2,0.0,0.0
2023-05-17,92.37,92.37,92.37,92.37,3,0.0,0.0
2023-08-29,91.01,91.17,91.01,91.17,2141,0.0,0.0
2023-02-10,91.15,91.15,91.1,91.1,741,0.0,0.0
